zindi_id,country,iso3,espn_name,fd_name
WC-2026_AUT,Austria,AUT,Austria,Austria
WC-2026_BEL,Belgium,BEL,Belgium,Belgium
WC-2026_BIH,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina
WC-2026_HRV,Croatia,HRV,Croatia,Croatia
WC-2026_CZE,Czechia,CZE,Czech Republic,Czech Republic
WC-2026_ENG,England,ENG,England,England
WC-2026_FRA,France,FRA,France,France
WC-2026_DEU,Germany,DEU,Germany,Germany
WC-2026_NLD,Netherlands,NLD,Netherlands,Netherlands
WC-2026_NOR,Norway,NOR,Norway,Norway
WC-2026_PRT,Portugal,PRT,Portugal,Portugal
WC-2026_SCO,Scotland,SCO,Scotland,Scotland
WC-2026_ESP,Spain,ESP,Spain,Spain
WC-2026_SWE,Sweden,SWE,Sweden,Sweden
WC-2026_CHE,Switzerland,CHE,Switzerland,Switzerland
WC-2026_TUR,Turkiye,TUR,Turkey,Türkiye
WC-2026_DZA,Algeria,DZA,Algeria,Algeria
WC-2026_CPV,Cabo Verde,CPV,Cape Verde,Cabo Verde
WC-2026_CIV,Cote d'Ivoire,CIV,Ivory Coast,Côte d'Ivoire
WC-2026_COD,DR Congo,COD,Congo DR,DR Congo
WC-2026_EGY,Egypt,EGY,Egypt,Egypt
WC-2026_GHA,Ghana,GHA,Ghana,Ghana
WC-2026_MAR,Morocco,MAR,Morocco,Morocco
WC-2026_SEN,Senegal,SEN,Senegal,Senegal
WC-2026_ZAF,South Africa,ZAF,South Africa,South Africa
WC-2026_TUN,Tunisia,TUN,Tunisia,Tunisia
WC-2026_AUS,Australia,AUS,Australia,Australia
WC-2026_IRN,Iran,IRN,Iran,Iran
WC-2026_IRQ,Iraq,IRQ,Iraq,Iraq
WC-2026_JPN,Japan,JPN,Japan,Japan
WC-2026_JOR,Jordan,JOR,Jordan,Jordan
WC-2026_QAT,Qatar,QAT,Qatar,Qatar
WC-2026_SAU,Saudi Arabia,SAU,Saudi Arabia,Saudi Arabia
WC-2026_KOR,South Korea,KOR,South Korea,Korea Republic
WC-2026_UZB,Uzbekistan,UZB,Uzbekistan,Uzbekistan
WC-2026_ARG,Argentina,ARG,Argentina,Argentina
WC-2026_BRA,Brazil,BRA,Brazil,Brazil
WC-2026_COL,Colombia,COL,Colombia,Colombia
WC-2026_ECU,Ecuador,ECU,Ecuador,Ecuador
WC-2026_PRY,Paraguay,PRY,Paraguay,Paraguay
WC-2026_URY,Uruguay,URY,Uruguay,Uruguay
WC-2026_CAN,Canada,CAN,Canada,Canada
WC-2026_MEX,Mexico,MEX,Mexico,Mexico
WC-2026_USA,United States,USA,United States,United States
WC-2026_CUW,Curacao,CUW,Curaçao,Curaçao
WC-2026_HTI,Haiti,HTI,Haiti,Haiti
WC-2026_PAN,Panama,PAN,Panama,Panama
WC-2026_NZL,New Zealand,NZL,New Zealand,New Zealand
